Combined,AJDEM,ADJOE,ADJDE,,D1,AJDEM,ADJOE,ADJDE,,D2,AJDEM,ADJOE,ADJDE,,D3,AJDEM,ADJOE,ADJDE
Emory,0.0521,1.0058,0.9537,,Rider,-0.2369,0.9475,1.1844,,,,,,,Coast Guard,-0.1459,1.0169,1.1628
California Baptist,0.052,1.1656,1.1136,,Texas Southern,-0.2373,0.8924,1.1297,,,,,,,Bates,-0.1473,0.9091,1.0564
Bellarmine,0.0518,1.2502,1.1984,,Southeast Mo. St.,-0.2374,1.1038,1.3412,,,,,,,Skidmore,-0.1504,0.8776,1.028
Chaminade,0.0503,1.0689,1.0186,,Morgan St.,-0.2375,0.8912,1.1287,,,,,,,Alvernia,-0.1529,0.9815,1.1344
Centre,0.0501,1.1814,1.1313,,UIW,-0.2396,1.1484,1.388,,,,,,,McDaniel,-0.153,1.0131,1.1661
Weber St.,0.0492,0.9832,0.934,,Tulsa,-0.2469,0.9181,1.165,,,,,,,Lancaster Bible,-0.1565,0.9672,1.1237
Young Harris,0.0479,1.0107,0.9628,,Dartmouth,-0.2494,0.9216,1.171,,,,,,,Blackburn,-0.1583,1.0932,1.2515
Concord,0.0472,1.0189,0.9717,,Manhattan,-0.2512,1.0508,1.302,,,,,,,Geneva,-0.1583,0.9824,1.1407
DePauw,0.0464,0.9627,0.9163,,Detroit Mercy,-0.2541,0.8996,1.1537,,,,,,,Washington Col.,-0.1617,0.8507,1.0124
Lincoln (PA),0.0454,1.0951,1.0497,,Lamar University,-0.255,1.016,1.271,,,,,,,William Peace,-0.1618,0.7976,0.9594
Little Rock,0.0448,0.9408,0.896,,Oral Roberts,-0.2551,0.9409,1.196,,,,,,,Wash. & Lee,-0.1653,0.8715,1.0368
Bowdoin,0.0431,1.0373,0.9942,,NJIT,-0.2559,0.8944,1.1503,,,,,,,Lesley,-0.1658,0.9512,1.117
Coker,0.0425,1.2833,1.2408,,Alabama A&M,-0.2577,0.8697,1.1274,,,,,,,St. Joseph's (Brkln),-0.1678,0.877,1.0448
Hampton,0.042,1.1093,1.0673,,Mount St. Mary's,-0.2596,0.8443,1.1039,,,,,,,SUNY Delhi,-0.1681,0.9373,1.1054
Chris. Newport,0.0417,0.9922,0.9505,,Charleston So.,-0.2697,0.9171,1.1868,,,,,,,Fredonia,-0.1684,1.0255,1.1939
Holy Family,0.041,1.0292,0.9882,,North Dakota,-0.2717,1.0137,1.2854,,,,,,,Principia,-0.169,0.9515,1.1205
Bluefield St.,0.0408,1.2104,1.1696,,South Carolina St.,-0.2768,0.8376,1.1144,,,,,,,McMurry,-0.1696,0.9977,1.1673
Heidelberg,0.0406,1.1476,1.107,,N.C. Central,-0.2781,0.9366,1.2147,,,,,,,Northwestern-St. Paul,-0.1704,1.0405,1.2109
Grinnell,0.0401,1.0069,0.9668,,Cleveland St.,-0.2822,0.8607,1.1429,,,,,,,Gordon,-0.1717,0.9671,1.1388
Mont. St. Billings,0.0375,1.0662,1.0287,,Robert Morris,-0.2827,0.8646,1.1473,,,,,,,Elmira,-0.1719,0.8384,1.0103
Adelphi,0.0375,1.0918,1.0543,,Old Dominion,-0.2852,0.869,1.1542,,,,,,,Penn St. Harrisburg,-0.1727,0.9665,1.1392
Bridgewater St.,0.0357,0.9145,0.8788,,Howard,-0.2857,0.9118,1.1975,,,,,,,Texas Lutheran,-0.1761,0.9692,1.1453
Cal Poly Pomona,0.0354,0.9892,0.9538,,IU Indy,-0.286,1.161,1.447,,,,,,,Webster,-0.1774,0.8739,1.0513
Caldwell,0.0353,1.0087,0.9734,,Le Moyne,-0.2872,0.9555,1.2427,,,,,,,Penn St. Brandywine,-0.1835,0.7502,0.9337
Vanguard,0.0353,1.128,1.0927,,LIU,-0.295,0.9199,1.2149,,,,,,,Hunter,-0.1838,0.8167,1.0005
Omaha,0.0345,1.0683,1.0338,,Fairfield,-0.2975,0.8734,1.1709,,,,,,,Austin,-0.1842,0.9097,1.0939
Ohio,0.0336,1.2168,1.1832,,Marist,-0.2991,1.075,1.3741,,,,,,,Houghton,-0.189,1.0977,1.2867
Towson,0.0332,0.9911,0.9579,,Binghamton,-0.3007,0.9372,1.2379,,,,,,,Asbury,-0.1897,1.054,1.2437
Seton Hall,0.0329,0.9043,0.8714,,Portland,-0.306,0.8736,1.1796,,,,,,,Emmanuel (MA),-0.1923,0.9237,1.116
CSU Bakersfield,0.0326,1.0384,1.0058,,NIU,-0.3095,0.83,1.1395,,,,,,,Haverford,-0.1931,0.9651,1.1582
Charlotte,0.0323,1.3197,1.2874,,Saint Francis,-0.3133,0.9753,1.2886,,,,,,,Alfred,-0.1938,0.877,1.0708
Green Bay,0.032,1.1889,1.1569,,Prairie View,-0.3143,1.0408,1.3551,,,,,,,East. Mennonite,-0.204,1.0331,1.2371
Idaho,0.0306,1.1491,1.1185,,Air Force,-0.3155,0.8487,1.1642,,,,,,,Greensboro,-0.2041,0.9056,1.1097
Rensselaer,0.0305,0.9479,0.9174,,Florida A&M,-0.3158,0.9238,1.2396,,,,,,,Fontbonne,-0.2067,0.9942,1.2009
Edinboro,0.0264,1.0252,0.9988,,Bethune-Cookman,-0.3176,0.9128,1.2304,,,,,,,Allegheny,-0.2076,1.0488,1.2564
Delta St.,0.0264,1.1439,1.1175,,Alcorn,-0.3201,0.9152,1.2353,,,,,,,IIT,-0.21,1.0077,1.2177
Seton Hill,0.0257,0.8925,0.8668,,Portland St.,-0.3225,1.0314,1.3539,,,,,,,Anna Maria,-0.2106,0.9235,1.1341
Pacific,0.0248,1.0441,1.0193,,Mercyhurst,-0.3312,0.886,1.2172,,,,,,,Covenant,-0.2114,0.9647,1.1761
Bucknell,0.0241,1.1488,1.1247,,Central Ark.,-0.3474,0.9393,1.2867,,,,,,,Hartwick,-0.2216,1.005,1.2266
CUI,0.0238,1.1005,1.0767,,Delaware St.,-0.3485,0.8384,1.1869,,,,,,,Berry,-0.2274,1.0733,1.3007
St. Thomas (TX),0.0231,1.0145,0.9914,,West Ga.,-0.349,0.9049,1.2539,,,,,,,St. Norbert,-0.2291,1.0561,1.2852
Utica,0.0227,0.9997,0.977,,Eastern Mich.,-0.3495,0.865,1.2145,,,,,,,Pratt,-0.2308,0.8431,1.0739
Henderson St.,0.0213,1.094,1.0727,,Morehead St.,-0.3656,0.824,1.1896,,,,,,,Howard Payne,-0.2314,0.93,1.1614
Catawba,0.0212,1.052,1.0308,,FDU,-0.3686,0.9999,1.3685,,,,,,,Brooklyn,-0.2405,0.8167,1.0572
Brown,0.0196,1.02,1.0004,,New Hampshire,-0.3751,0.8328,1.2079,,,,,,,Mount Aloysius,-0.2414,1.0016,1.243
Rogers St.,0.0195,1.1819,1.1624,,Chicago St.,-0.3768,0.832,1.2088,,,,,,,Wilson,-0.2433,1.0438,1.2871
Vermont,0.0193,1.0103,0.991,,Tarleton St.,-0.3901,0.8412,1.2313,,,,,,,Concordia (TX),-0.2444,1.0466,1.291
Fla. Southern,0.0193,1.0797,1.0604,,Houston Christian,-0.3918,0.8401,1.2319,,,,,,,Thomas (ME),-0.2456,0.8556,1.1012
Midwestern St.,0.0187,1.0535,1.0348,,New Orleans,-0.3958,0.8219,1.2177,,,,,,,Dickinson,-0.2475,1.0523,1.2998
Ohio Northern,0.018,1.1089,1.0909,,Coppin St.,-0.4123,0.7224,1.1347,,,,,,,St. Scholastica,-0.2483,1.0594,1.3077
Lafayette,0.0156,1.0484,1.0328,,Stony Brook,-0.4145,0.9012,1.3157,,,,,,,St. Olaf,-0.2489,0.8925,1.1414
CSUN,0.0149,1.0559,1.041,,Jackson St.,-0.4201,0.8307,1.2508,,,,,,,Rutgers-Camden,-0.2495,0.9721,1.2216
Merrimack,0.0145,0.9719,0.9574,,Lindenwood,-0.4323,0.8689,1.3012,,,,,,,Valley Forge,-0.2517,0.8513,1.103
Black Hills St.,0.0142,1.0272,1.013,,UMES,-0.4334,0.8532,1.2866,,,,,,,SUNY Potsdam,-0.2544,1.019,1.2734
John Carroll,0.0141,1.1092,1.0951,,Wagner,-0.4438,0.7402,1.184,,,,,,,Warren Wilson,-0.2546,0.9507,1.2053
South Alabama,0.0139,1.0243,1.0104,,Canisius,-0.4581,0.9745,1.4326,,,,,,,New England Col.,-0.2591,1.0126,1.2717
Olivet,0.0134,0.9849,0.9715,,Ark.-Pine Bluff,-0.5059,0.9356,1.4415,,,,,,,Keuka,-0.2592,0.9891,1.2483
Harvard,0.0133,1.064,1.0507,,Mississippi Val.,-0.5381,0.7201,1.2582,,,,,,,Lakeland,-0.2596,0.9857,1.2453
Duquesne,0.0132,0.9583,0.9451,,Lehigh,-0.556,0.8722,1.4282,,,,,,,Penn St.-Altoona,-0.262,0.9357,1.1977
California (PA),0.0114,1.1556,1.1442,,,,,,,,,,,,Lycoming,-0.2632,1.0233,1.2865
Grambling,0.0112,0.9201,0.9089,,,,,,,,,,,,Centenary (NJ),-0.2656,0.9893,1.2549
Ball St.,0.0108,0.972,0.9612,,,,,,,,,,,,Messiah,-0.269,0.8046,1.0736
Pitt.-Bradford,0.01,1.2008,1.1908,,,,,,,,,,,,Arcadia,-0.273,0.909,1.182
Westminster (PA),0.0089,0.9724,0.9635,,,,,,,,,,,,Minn.-Morris,-0.2732,0.9349,1.2081
Central (IA),0.0084,1.1723,1.1639,,,,,,,,,,,,Rosemont,-0.2743,0.7502,1.0245
Missouri Western,0.0083,1.0614,1.0531,,,,,,,,,,,,Augsburg,-0.2779,0.868,1.1459
Anderson (SC),0.0075,1.0799,1.0724,,,,,,,,,,,,Ripon,-0.2781,0.756,1.0341
Wichita St.,0.0069,1.0778,1.0709,,,,,,,,,,,,East Tex. Baptist,-0.2827,1.005,1.2877
UVA Wise,0.0041,1.0423,1.0382,,,,,,,,,,,,Alma,-0.2838,0.9648,1.2486
USC Upstate,0.0029,1.1246,1.1217,,,,,,,,,,,,Wilmington (OH),-0.3005,0.8326,1.1331
Me.-Presque Isle,0.0029,0.9352,0.9323,,,,,,,,,,,,Pfeiffer,-0.3052,0.89,1.1952
Clark (MA),0.0025,1.0958,1.0933,,,,,,,,,,,,Muhlenberg,-0.3065,0.9511,1.2576
Montana St.,0.0011,1.0454,1.0443,,,,,,,,,,,,St. Joseph's (L.I.),-0.307,0.7886,1.0956
Wis.-Oshkosh,0.0011,0.9083,0.9072,,,,,,,,,,,,Kean,-0.3109,0.9646,1.2755
Wayne St. (MI),0.0002,1.3047,1.3045,,,,,,,,,,,,Hendrix,-0.312,0.8694,1.1814
Lasell,-0.0005,0.9918,0.9923,,,,,,,,,,,,Curry,-0.3128,0.7377,1.0505
Cal Poly,-0.0006,1.1463,1.1469,,,,,,,,,,,,Juniata,-0.3153,0.7692,1.0845
Tennessee Tech,-0.0009,1.0416,1.0425,,,,,,,,,,,,Merchant Marine,-0.3235,0.8901,1.2136
Rochester (NY),-0.0024,1.0355,1.0379,,,,,,,,,,,,Westminster (MO),-0.3321,0.8243,1.1564
Neumann,-0.0026,1.0894,1.092,,,,,,,,,,,,York (NY),-0.3336,0.8717,1.2053
Bentley,-0.0035,1.1506,1.1541,,,,,,,,,,,,La Verne,-0.3448,0.9575,1.3023
Plymouth St.,-0.0035,0.9469,0.9504,,,,,,,,,,,,Maranatha Baptist,-0.3453,1.0192,1.3645
Utah Tech,-0.0036,1.0573,1.0609,,,,,,,,,,,,Southwestern (TX),-0.3569,0.7612,1.1181
Stevens,-0.0039,1.1113,1.1152,,,,,,,,,,,,Centenary (LA),-0.3598,0.8309,1.1907
UT Tyler,-0.0042,0.8555,0.8597,,,,,,,,,,,,SUNY Canton,-0.3681,0.7427,1.1108
Carthage,-0.0045,0.9334,0.9379,,,,,,,,,,,,Simpson,-0.3685,0.8535,1.222
Wright St.,-0.0046,1.1355,1.1401,,,,,,,,,,,,Alfred St.,-0.3807,0.9371,1.3178
Toledo,-0.0049,1.1301,1.135,,,,,,,,,,,,MCLA,-0.3849,0.9111,1.296
Delaware,-0.0052,1.1329,1.1381,,,,,,,,,,,,MUW,-0.3949,0.8217,1.2166
FIU,-0.0062,1.0395,1.0457,,,,,,,,,,,,Gallaudet,-0.4007,0.7368,1.1375
Lander,-0.0069,1.1368,1.1437,,,,,,,,,,,,Northland,-0.4026,0.7092,1.1118
Montevallo,-0.007,1.1176,1.1246,,,,,,,,,,,,Whittier,-0.4072,0.9736,1.3808
DBU,-0.0075,1.0015,1.009,,,,,,,,,,,,Carlow,-0.4124,0.813,1.2254
St. Thomas Aquinas,-0.0075,1.0579,1.0654,,,,,,,,,,,,VTSU Lyndon,-0.4158,0.8504,1.2662
Christian Brothers,-0.0081,1.0541,1.0622,,,,,,,,,,,,Bryn Athyn,-0.4571,0.749,1.2061
UMBC,-0.0088,1.0318,1.0406,,,,,,,,,,,,Mt. St. Mary (NY),-0.464,0.8457,1.3097
Suffolk,-0.0093,1.0535,1.0628,,,,,,,,,,,,Caltech,-0.4714,0.8271,1.2985
Western Wash.,-0.0094,1.0603,1.0697,,,,,,,,,,,,Penn St.-Berks,-0.479,0.8311,1.3101
Brandeis,-0.0107,1.1189,1.1296,,,,,,,,,,,,Penn St.-Abington,-0.48,0.864,1.344
Tulane,-0.0114,0.9794,0.9908,,,,,,,,,,,,Immaculata,-0.4861,0.8446,1.3307
Babson,-0.0117,0.9552,0.9669,,,,,,,,,,,,Elms,-0.4896,1.0023,1.4919
South Fla.,-0.0127,1.1304,1.1431,,,,,,,,,,,,VTSU-Johnson,-0.5049,1.1136,1.6185
Saginaw Valley,-0.0129,1.0498,1.0627,,,,,,,,,,,,Earlham,-0.5053,0.9943,1.4996
New Haven,-0.0131,1.0215,1.0346,,,,,,,,,,,,Medgar Evers,-0.5781,0.7121,1.2902
Saint Joseph (CT),-0.0139,0.9863,1.0002,,,,,,,,,,,,,,,
Siena,-0.015,0.9746,0.9896,,,,,,,,,,,,,,,
Tennessee St.,-0.015,1.0365,1.0515,,,,,,,,,,,,,,,
Columbia,-0.0154,1.0931,1.1085,,,,,,,,,,,,,,,
SUNY Geneseo,-0.0156,1.0488,1.0644,,,,,,,,,,,,,,,
Wabash,-0.0158,1.2096,1.2254,,,,,,,,,,,,,,,
Tuskegee,-0.0164,1.0466,1.063,,,,,,,,,,,,,,,
Okla. Baptist,-0.0171,1.0292,1.0463,,,,,,,,,,,,,,,
Johns Hopkins,-0.0173,0.9987,1.016,,,,,,,,,,,,,,,
Crown (MN),-0.0178,0.9628,0.9806,,,,,,,,,,,,,,,
Franklin & Marshall,-0.0179,1.1045,1.1224,,,,,,,,,,,,,,,
Claflin,-0.0189,1.1173,1.1362,,,,,,,,,,,,,,,
Southern Ill.,-0.0193,0.9733,0.9926,,,,,,,,,,,,,,,
Elon,-0.0205,1.0421,1.0626,,,,,,,,,,,,,,,
Seattle U,-0.021,1.0106,1.0316,,,,,,,,,,,,,,,
Richmond,-0.0224,0.8479,0.8703,,,,,,,,,,,,,,,
Spalding,-0.0225,0.8981,0.9206,,,,,,,,,,,,,,,
Portland,-0.0228,1.0323,1.0551,,,,,,,,,,,,,,,
Trevecca Nazarene,-0.0229,0.9916,1.0145,,,,,,,,,,,,,,,
CWRU,-0.0229,1.2012,1.2241,,,,,,,,,,,,,,,
Minnesota St.,-0.0236,1.0547,1.0783,,,,,,,,,,,,,,,
Southeastern La.,-0.0238,1.1611,1.1849,,,,,,,,,,,,,,,
Coe,-0.0247,1.0198,1.0445,,,,,,,,,,,,,,,
Hobart,-0.0248,0.9658,0.9906,,,,,,,,,,,,,,,
Rhode Island Col.,-0.026,1.0634,1.0894,,,,,,,,,,,,,,,
Miami (OH),-0.0261,1.0542,1.0803,,,,,,,,,,,,,,,
Saint Louis,-0.0271,1.1175,1.1446,,,,,,,,,,,,,,,
Marietta,-0.0271,1.2208,1.2479,,,,,,,,,,,,,,,
Missouri St.,-0.0274,0.9961,1.0235,,,,,,,,,,,,,,,
Farmingdale St.,-0.0278,0.9318,0.9596,,,,,,,,,,,,,,,
Gannon,-0.0281,1.0661,1.0942,,,,,,,,,,,,,,,
Elmhurst,-0.0291,1.0369,1.066,,,,,,,,,,,,,,,
Wis.-Stevens Point,-0.0292,0.9019,0.9311,,,,,,,,,,,,,,,
Southern Miss.,-0.0295,1.0584,1.0879,,,,,,,,,,,,,,,
Indiana St.,-0.0297,1.2407,1.2704,,,,,,,,,,,,,,,
Grove City,-0.0316,0.9082,0.9398,,,,,,,,,,,,,,,
Wartburg,-0.0326,1.1866,1.2192,,,,,,,,,,,,,,,
Southern Conn. St.,-0.0339,1.0194,1.0533,,,,,,,,,,,,,,,
North Park,-0.0343,0.9683,1.0026,,,,,,,,,,,,,,,
Morgan St.,-0.035,1.0182,1.0532,,,,,,,,,,,,,,,
UIndy,-0.0351,1.1924,1.2275,,,,,,,,,,,,,,,
Wittenberg,-0.0354,1.0705,1.1059,,,,,,,,,,,,,,,
Morehouse,-0.0358,1.1159,1.1517,,,,,,,,,,,,,,,
Carnegie Mellon,-0.0358,0.9149,0.9507,,,,,,,,,,,,,,,
West Tex. A&M,-0.0365,0.9729,1.0094,,,,,,,,,,,,,,,
Ferris St.,-0.0382,0.9337,0.9719,,,,,,,,,,,,,,,
St. Lawrence,-0.0384,0.8143,0.8527,,,,,,,,,,,,,,,
Post,-0.0389,0.9911,1.03,,,,,,,,,,,,,,,
Pepperdine,-0.0395,1.0456,1.0851,,,,,,,,,,,,,,,
American,-0.0398,1.0307,1.0705,,,,,,,,,,,,,,,
LeTourneau,-0.0402,0.9896,1.0298,,,,,,,,,,,,,,,
Tex. A&M-Commerce,-0.0416,1.0388,1.0804,,,,,,,,,,,,,,,
Alabama St.,-0.0416,1.0016,1.0432,,,,,,,,,,,,,,,
Southern N.H.,-0.0422,1.0216,1.0638,,,,,,,,,,,,,,,
Georgia Tech,-0.0428,1.019,1.0618,,,,,,,,,,,,,,,
West Chester,-0.0429,1.0562,1.0991,,,,,,,,,,,,,,,
Columbus St.,-0.0431,0.9572,1.0003,,,,,,,,,,,,,,,
Southern Nazarene,-0.0436,0.8814,0.925,,,,,,,,,,,,,,,
Ouachita Baptist,-0.0437,1.0241,1.0678,,,,,,,,,,,,,,,
Ark.-Fort Smith,-0.0444,1.1133,1.1577,,,,,,,,,,,,,,,
Wilkes,-0.0453,0.9857,1.031,,,,,,,,,,,,,,,
Indiana (PA),-0.0456,1.0308,1.0764,,,,,,,,,,,,,,,
St. Joseph's (ME),-0.0471,1.1295,1.1766,,,,,,,,,,,,,,,
Georgetown,-0.0473,1.0699,1.1172,,,,,,,,,,,,,,,
Hope,-0.0474,1.0117,1.0591,,,,,,,,,,,,,,,
Dubuque,-0.0475,0.8364,0.8839,,,,,,,,,,,,,,,
Stevenson,-0.0477,1.0677,1.1154,,,,,,,,,,,,,,,
Embry-Riddle (FL),-0.048,0.9371,0.9851,,,,,,,,,,,,,,,
Tufts,-0.0489,1.0956,1.1445,,,,,,,,,,,,,,,
Neb. Wesleyan,-0.0491,0.9878,1.0369,,,,,,,,,,,,,,,
Louisiana,-0.0494,1.0744,1.1238,,,,,,,,,,,,,,,
North Central (IL),-0.0501,0.8539,0.904,,,,,,,,,,,,,,,
Glenville St.,-0.0503,1.0022,1.0525,,,,,,,,,,,,,,,
Tulsa,-0.0508,1.1005,1.1513,,,,,,,,,,,,,,,
Francis Marion,-0.0511,1.0152,1.0663,,,,,,,,,,,,,,,
Carson-Newman,-0.0512,1.0646,1.1158,,,,,,,,,,,,,,,
Tex. Permian Basin,-0.0518,0.9807,1.0325,,,,,,,,,,,,,,,
Central Okla.,-0.0522,1.0633,1.1155,,,,,,,,,,,,,,,
Hiram,-0.0525,0.9681,1.0206,,,,,,,,,,,,,,,
Hampden-Sydney,-0.0528,1.0695,1.1223,,,,,,,,,,,,,,,
Nichols,-0.0529,0.9547,1.0076,,,,,,,,,,,,,,,
North Florida,-0.0531,1.1867,1.2398,,,,,,,,,,,,,,,
Iona,-0.0551,0.9973,1.0524,,,,,,,,,,,,,,,
Idaho St.,-0.0558,1.0132,1.069,,,,,,,,,,,,,,,
Mount St. Mary's,-0.0566,0.954,1.0106,,,,,,,,,,,,,,,
St. Edward's,-0.0569,0.9792,1.0361,,,,,,,,,,,,,,,
USC Beaufort,-0.0593,1.0224,1.0817,,,,,,,,,,,,,,,
Ithaca,-0.0604,1.0015,1.0619,,,,,,,,,,,,,,,
Virginia St.,-0.0615,0.9856,1.0471,,,,,,,,,,,,,,,
Wash. & Jeff.,-0.0633,0.8707,0.934,,,,,,,,,,,,,,,
Army West Point,-0.0635,0.9899,1.0534,,,,,,,,,,,,,,,
Whitworth,-0.0646,1.2761,1.3407,,,,,,,,,,,,,,,
Wheaton (MA),-0.0652,1.01,1.0752,,,,,,,,,,,,,,,
Calvin,-0.0664,1.0913,1.1577,,,,,,,,,,,,,,,
Nicholls,-0.0667,0.9087,0.9754,,,,,,,,,,,,,,,
UMass Dartmouth,-0.068,1.1612,1.2292,,,,,,,,,,,,,,,
Central Conn. St.,-0.0685,1.0135,1.082,,,,,,,,,,,,,,,
York (PA),-0.0702,1.0357,1.1059,,,,,,,,,,,,,,,
Mo.-St. Louis,-0.0707,0.9974,1.0681,,,,,,,,,,,,,,,
MSOE,-0.0721,1.0416,1.1137,,,,,,,,,,,,,,,
Gustavus Adolphus,-0.0722,0.9794,1.0516,,,,,,,,,,,,,,,
Allen,-0.074,1.0102,1.0842,,,,,,,,,,,,,,,
Livingstone,-0.0767,0.7943,0.871,,,,,,,,,,,,,,,
Scranton,-0.077,0.8689,0.9459,,,,,,,,,,,,,,,
Maryville (MO),-0.0774,1.0572,1.1346,,,,,,,,,,,,,,,
Minn.-Crookston,-0.078,0.9068,0.9848,,,,,,,,,,,,,,,
Air Force,-0.0784,0.9902,1.0686,,,,,,,,,,,,,,,
LeMoyne-Owen,-0.0784,1.0905,1.1689,,,,,,,,,,,,,,,
Jacksonville,-0.0795,1.0037,1.0832,,,,,,,,,,,,,,,
La Roche,-0.0808,0.9308,1.0116,,,,,,,,,,,,,,,
William Jewell,-0.0818,1.1853,1.2671,,,,,,,,,,,,,,,
New Jersey City,-0.0826,0.8904,0.973,,,,,,,,,,,,,,,
North Dakota,-0.0841,1.1144,1.1985,,,,,,,,,,,,,,,
UC Riverside,-0.0843,0.9708,1.0551,,,,,,,,,,,,,,,
Mars Hill,-0.0847,0.9082,0.9929,,,,,,,,,,,,,,,
UTSA,-0.087,1.0757,1.1627,,,,,,,,,,,,,,,
Millikin,-0.0871,0.9079,0.995,,,,,,,,,,,,,,,
Eastern Wash.,-0.0872,0.9978,1.085,,,,,,,,,,,,,,,
UC Davis,-0.0876,0.9143,1.0019,,,,,,,,,,,,,,,
Eckerd,-0.0878,1.0165,1.1043,,,,,,,,,,,,,,,
Southwest Baptist,-0.0884,1.0588,1.1472,,,,,,,,,,,,,,,
Gettysburg,-0.0887,1.0346,1.1233,,,,,,,,,,,,,,,
Maine,-0.0922,1.004,1.0962,,,,,,,,,,,,,,,
Chattanooga,-0.0923,0.9609,1.0532,,,,,,,,,,,,,,,
Albertus Magnus,-0.0926,0.9134,1.006,,,,,,,,,,,,,,,
Clarion,-0.093,1.0853,1.1783,,,,,,,,,,,,,,,
Clayton St.,-0.0936,1.0012,1.0948,,,,,,,,,,,,,,,
Augustana (SD),-0.0937,0.9841,1.0778,,,,,,,,,,,,,,,
Mary Hardin-Baylor,-0.0938,0.9877,1.0815,,,,,,,,,,,,,,,
Penn St. Brandywine,-0.0939,0.951,1.0449,,,,,,,,,,,,,,,
Miles,-0.0942,1.0152,1.1094,,,,,,,,,,,,,,,
Barry,-0.0944,0.8937,0.9881,,,,,,,,,,,,,,,
Baruch,-0.095,1.1359,1.2309,,,,,,,,,,,,,,,
Transylvania,-0.0951,0.9935,1.0886,,,,,,,,,,,,,,,
Harding,-0.0955,1.1087,1.2042,,,,,,,,,,,,,,,
Chowan,-0.0961,1.1072,1.2033,,,,,,,,,,,,,,,
Northern Ky.,-0.0962,0.8994,0.9956,,,,,,,,,,,,,,,
Rose-Hulman,-0.0965,0.9401,1.0366,,,,,,,,,,,,,,,
The Citadel,-0.0979,0.9313,1.0292,,,,,,,,,,,,,,,
Stetson,-0.0982,1.0293,1.1275,,,,,,,,,,,,,,,
Berea,-0.0993,1.0036,1.1029,,,,,,,,,,,,,,,
San Diego,-0.0995,0.8741,0.9736,,,,,,,,,,,,,,,
Otterbein,-0.0997,1.0861,1.1858,,,,,,,,,,,,,,,
Southern U.,-0.1003,0.9676,1.0679,,,,,,,,,,,,,,,
Oral Roberts,-0.1003,0.9772,1.0775,,,,,,,,,,,,,,,
Newman,-0.1009,1.034,1.1349,,,,,,,,,,,,,,,
Virginia Union,-0.1019,1.0647,1.1666,,,,,,,,,,,,,,,
Minot St.,-0.1021,1.0504,1.1525,,,,,,,,,,,,,,,
Penn St. Harrisburg,-0.1029,0.9573,1.0602,,,,,,,,,,,,,,,
Averett,-0.103,1.0477,1.1507,,,,,,,,,,,,,,,
Point Park,-0.1033,0.9441,1.0474,,,,,,,,,,,,,,,
Sacramento St.,-0.1035,0.9383,1.0418,,,,,,,,,,,,,,,
Sam Houston,-0.1041,1.0403,1.1444,,,,,,,,,,,,,,,
Monmouth,-0.1052,0.9899,1.0951,,,,,,,,,,,,,,,
Emory & Henry,-0.1069,0.9304,1.0373,,,,,,,,,,,,,,,
Truman St.,-0.1071,1.1422,1.2493,,,,,,,,,,,,,,,
Jefferson,-0.1071,0.9577,1.0648,,,,,,,,,,,,,,,
West Virginia St.,-0.108,1.0325,1.1405,,,,,,,,,,,,,,,
Tusculum,-0.1081,0.963,1.0711,,,,,,,,,,,,,,,
Staten Island,-0.1094,1.0162,1.1256,,,,,,,,,,,,,,,
Slippery Rock,-0.1118,0.8839,0.9957,,,,,,,,,,,,,,,
CSUSB,-0.1121,1.0215,1.1336,,,,,,,,,,,,,,,
Oakland,-0.1123,1.0419,1.1542,,,,,,,,,,,,,,,
Wheeling,-0.1133,0.9964,1.1097,,,,,,,,,,,,,,,
Savannah St.,-0.1141,0.9345,1.0486,,,,,,,,,,,,,,,
High Point,-0.1146,1.1421,1.2567,,,,,,,,,,,,,,,
Fort Hays St.,-0.1147,1.0719,1.1866,,,,,,,,,,,,,,,
Franklin,-0.115,1.0209,1.1359,,,,,,,,,,,,,,,
Cedarville,-0.115,1.0787,1.1937,,,,,,,,,,,,,,,
WPI,-0.1159,0.8054,0.9213,,,,,,,,,,,,,,,
Benedictine (IL),-0.1159,1.1701,1.286,,,,,,,,,,,,,,,
Goldey-Beacom,-0.1161,0.9942,1.1103,,,,,,,,,,,,,,,
JWU (Providence),-0.1161,0.9544,1.0705,,,,,,,,,,,,,,,
Detroit Mercy,-0.1169,0.96,1.0769,,,,,,,,,,,,,,,
UTRGV,-0.1182,1.0123,1.1305,,,,,,,,,,,,,,,
Southern Me.,-0.1206,0.8544,0.975,,,,,,,,,,,,,,,
Carleton,-0.1206,1.0487,1.1693,,,,,,,,,,,,,,,
Saint Francis,-0.1207,1.0838,1.2045,,,,,,,,,,,,,,,
East Central,-0.121,1.0435,1.1645,,,,,,,,,,,,,,,
Gardner-Webb,-0.1232,0.9121,1.0353,,,,,,,,,,,,,,,
Saint Leo,-0.1235,0.967,1.0905,,,,,,,,,,,,,,,
Franciscan,-0.1243,0.9827,1.107,,,,,,,,,,,,,,,
Western Ill.,-0.1244,0.9815,1.1059,,,,,,,,,,,,,,,
Cal State LA,-0.1246,0.9702,1.0948,,,,,,,,,,,,,,,
Roger Williams,-0.1257,1.1459,1.2716,,,,,,,,,,,,,,,
Navy,-0.1259,1.0099,1.1358,,,,,,,,,,,,,,,
Cal St. Fullerton,-0.1263,1.0137,1.14,,,,,,,,,,,,,,,
Wayne St. (NE),-0.1272,1.102,1.2292,,,,,,,,,,,,,,,
