Home_Team,Away_Team,Home_ppp,Away_ppp,Division
Creighton,UTRGV,1.41,1.23,1.0
Utah St.,Alcorn,1.5,0.56,1.0
Eastern Wash.,Seattle U,1.29,1.19,1.0
Pepperdine,Western Ill.,1.22,0.97,1.0
Boise St.,Oakland,1.53,0.79,1.0
Portland,Lewis & Clark,1.21,0.97,1.0
San Diego St.,UC San Diego,1.15,1.05,1.0
San Diego,Rider,0.96,0.97,1.0
Binghamton,SUNY Oneonta,1.28,0.56,1.0
Delaware,Robert Morris,1.19,1.13,1.0
North Florida,Charleston So.,1.35,0.95,1.0
Central Mich.,Stony Brook,1.06,1.07,1.0
Western Mich.,Davenport,1.51,0.51,1.0
Indiana St.,Eureka,1.47,0.8,1.0
Mississippi Val.,MUW,1.3,0.67,1.0
The Citadel,Erskine,1.21,0.87,1.0
FDU,Purchase,1.94,1.1,1.0
Penn,UMES,1.23,1.22,1.0
Quinnipiac,WPI,0.97,0.59,1.0
Wake Forest,N.C. A&T,1.04,0.82,1.0
UAB,Southern Miss.,1.45,1.18,1.0
Southern Ind.,Bucknell,1.39,1.28,1.0
Wisconsin,Montana St.,1.35,1.02,1.0
UNI,Milwaukee,1.3,0.93,1.0
DePaul,Prairie View,1.33,0.71,1.0
Iowa,Southern U.,1.33,0.98,1.0
Louisiana,Texas-Dallas,1.2,0.94,1.0
Michigan St.,Niagara,1.53,1.06,1.0
Stetson,Omaha,1.09,1.13,1.0
Florida,Jacksonville,1.47,0.98,1.0
Loyola Chicago,Detroit Mercy,1.36,1.0,1.0
SMU,Florida A&M,1.3,0.85,1.0
North Dakota St.,Illinois St.,1.13,1.28,1.0
Air Force,Jacksonville St.,1.22,1.12,1.0
Saint Mary's (CA),Chattanooga,1.41,1.21,1.0
California,Cal Poly,1.39,1.13,1.0
Southern California,Idaho St.,1.21,1.11,1.0
Utah,Central Ark.,1.53,0.71,1.0
Idaho,UC Davis,1.17,1.23,1.0
UIW,Southwestern (TX),1.55,0.8,1.0
N.C. Central,Gardner-Webb,1.1,1.36,1.0
Denver,Western Colo.,1.17,0.93,1.0
Stanford,Cal St. Fullerton,1.35,0.92,1.0
Ball St.,Franklin,1.15,0.82,1.0
Monmouth,Temple,1.17,1.9,1.0
VCU,Boston College,1.07,0.65,1.0
Xavier,IU Indy,1.7,1.34,1.0
Penn St.,UMBC,1.3,0.67,1.0
UMass Lowell,Saint Peter's,1.27,1.16,1.0
Duke,Army West Point,1.38,0.83,1.0
Cornell,Samford,1.22,1.19,1.0
Butler,Austin Peay,1.18,1.21,1.0
Kansas,North Carolina,1.31,1.27,1.0
Green Bay,St. Thomas (MN),1.15,1.36,1.0
Ole Miss,Grambling,0.92,0.89,1.0
Saint Joseph's,Central Conn. St.,1.26,1.38,1.0
Clemson,Saint Francis,1.46,0.96,1.0
Queens (NC),Western Caro.,0.88,0.71,1.0
George Washington,Hampton,1.35,0.84,1.0
South Carolina,South Carolina St.,1.2,0.95,1.0
Cincinnati,Morehead St.,1.51,0.91,1.0
Bowling Green,Davidson,1.16,1.25,1.0
