Home_Team,Away_Team,Home_ppp,Away_ppp,Division
Detroit Mercy,Tulsa,0.76,1.16,1.0
Gardner-Webb,Southeastern La.,1.2,1.13,1.0
High Point,Hampton,1.41,1.35,1.0
Mercer,Miami (OH),1.06,1.1,1.0
Fordham,San Francisco,0.98,1.52,1.0
San Diego St.,Creighton,1.26,0.94,1.0
Austin Peay,Georgia St.,1.09,0.88,1.0
Bethune-Cookman,North Dakota,1.07,0.91,1.0
Richmond,Louisiana Tech,1.03,1.08,1.0
Colorado,UConn,1.38,1.36,1.0
Utah Tech,Denver,1.12,0.85,1.0
Tennessee St.,Bryant,1.12,1.28,1.0
Penn St.,Clemson,1.1,1.23,1.0
Utah Valley,West Ga.,1.18,1.14,1.0
Oregon,Texas A&M,1.07,0.93,1.0
Missouri St.,South Dakota St.,0.96,1.38,1.0
Murray St.,UT Arlington,1.2,1.0,1.0
Tulane,Wyoming,1.02,1.03,1.0
Michigan St.,Memphis,1.03,1.16,1.0
Cleveland St.,NJIT,0.85,0.8,1.0
Florida Tech,Ball St.,0.87,1.33,1.0
Purdue Fort Wayne,Radford,0.88,1.15,1.0
Kentucky,Western Ky.,1.14,0.86,1.0
FDU,Saint Peter's,1.15,1.18,1.0
Army West Point,SUNY Maritime,1.44,0.98,1.0
Saint Francis,Lehigh,1.28,1.13,1.0
Georgetown,Wagner,1.36,0.62,1.0
Grand Canyon,Stanford,1.15,1.04,1.0
Florida St.,Western Caro.,1.11,0.68,1.0
Virginia,Manhattan,1.28,1.12,1.0
Saint Joseph's,Coppin St.,0.82,0.77,
Loyola Maryland,VMI,1.19,1.14,1.0
Boston College,Boise St.,0.98,0.95,1.0
Samford,North Dakota St.,1.32,1.39,1.0
Iowa,USC Upstate,1.37,0.83,1.0
South Alabama,Western Ill.,1.03,1.1,1.0
Houston,Alabama,1.06,1.0,1.0
A&M-Corpus Christi,Texas Lutheran,1.49,0.65,1.0
Belmont,LMU (CA),0.95,1.21,1.0
Dayton,Iowa St.,1.38,1.46,1.0
UTEP,Long Beach St.,1.52,0.85,1.0
Montana St.,Abilene Christian,1.61,1.11,1.0
Utah,Mississippi Val.,1.51,0.74,1.0
Pepperdine,Cal St. Fullerton,1.15,1.31,1.0
Northern Ariz.,Eastern Mich.,1.11,1.18,1.0
Duke,Kansas,1.36,1.42,1.0
SMU,California Baptist,1.39,1.35,1.0
UCLA,Southern Utah,1.26,0.49,1.0
UC Santa Barbara,Eastern Wash.,1.14,0.82,1.0
Cal Poly,Grambling,1.22,1.18,1.0
Rutgers,Notre Dame,1.27,1.29,1.0
North Carolina,Auburn,1.07,1.27,1.0
San Jose St.,UNC Greensboro,1.19,1.1,1.0
Seattle U,Furman,0.98,1.07,1.0
Hawaii,Hawaii Pacific,1.12,1.05,1.0
Washington St.,Fresno St.,1.05,0.91,1.0
Louisville,Indiana,1.48,0.8,1.0
Louisiana Tech,Eastern Ky.,1.37,1.21,1.0
UMBC,Morgan St.,1.23,0.7,1.0
North Dakota,Southeastern La.,1.22,1.58,1.0
Col. of Charleston,Northern Ky.,1.25,0.98,1.0
Merrimack,UTSA,1.07,1.1,1.0
Youngstown St.,Western Mich.,0.95,1.12,1.0
Charlotte,ETSU,0.92,1.25,1.0
Brown,Stony Brook,1.35,0.79,1.0
Chattanooga,Bryant,1.27,1.15,1.0
Texas Southern,Tex. A&M-Kingsville,1.29,1.16,1.0
Baylor,New Orleans,1.64,0.84,1.0
Tennessee Tech,Presbyterian,1.46,0.96,1.0
West Virginia,Gonzaga,1.13,1.25,1.0
Iowa St.,Colorado,1.48,1.0,1.0
Georgia St.,Tulsa,1.07,1.03,1.0
Florida Tech,Southern Ill.,0.82,1.16,1.0
Bethune-Cookman,Gardner-Webb,0.95,1.22,1.0
Tennessee,UT Martin,1.4,0.72,1.0
Morehead St.,NJIT,1.15,1.3,1.0
App State,Sam Houston,1.05,1.0,1.0
Valparaiso,NIU,1.32,1.24,1.0
Princeton,Nazareth,1.68,0.91,1.0
Harvard,Massachusetts,0.86,0.98,1.0
North Dakota St.,West Ga.,1.18,0.98,1.0
Robert Morris,Canisius,1.16,1.03,1.0
Oregon,San Diego St.,1.15,1.0,1.0
Air Force,Sacramento St.,0.95,0.98,1.0
Maryland,Bucknell,1.46,0.98,1.0
Auburn,Memphis,1.45,1.04,1.0
Oklahoma,Providence,1.23,1.2,1.0
Austin Peay,UT Arlington,1.0,1.17,1.0
Richmond,Ball St.,1.2,0.98,1.0
Western Ill.,UIW,1.29,1.48,1.0
Virginia Tech,South Carolina,1.0,1.17,1.0
Belmont,Tulane,1.58,1.1,1.0
Winthrop,Averett,1.52,0.96,1.0
Texas A&M,Creighton,1.1,1.04,1.0
Missouri,Lindenwood,1.3,0.92,1.0
Nebraska,South Dakota,1.28,1.03,1.0
Vermont,Plattsburgh St.,1.09,0.85,1.0
Cincinnati,Alabama St.,1.14,0.75,1.0
Syracuse,Cornell,1.19,1.04,1.0
Villanova,Rider,1.37,0.74,1.0
UCF,Milwaukee,2.05,1.85,1.0
UNCW,Colgate,1.06,1.37,1.0
Marshall,South Carolina St.,1.35,0.69,1.0
Davidson,Arizona,1.16,1.51,1.0
Georgia Tech,Charleston So.,1.17,0.84,1.0
Samford,Utah Valley,1.18,1.07,1.0
UNC Greensboro,UTEP,0.97,1.07,1.0
Houston Christian,Northern Ariz.,1.27,1.32,1.0
Saint Louis,UMass Lowell,1.58,1.53,1.0
Little Rock,UMES,1.18,0.9,1.0
Michigan,Xavier,1.29,0.98,1.0
LMU (CA),Wyoming,1.24,1.19,1.0
Marquette,Stonehill,1.8,1.18,1.0
Montana,CSUN,1.12,1.01,1.0
Washington St.,SMU,0.92,1.18,1.0
North Carolina,Michigan St.,1.31,1.26,1.0
Pacific,Ark.-Pine Bluff,1.41,1.2,1.0
California,Mercyhurst,1.37,0.82,1.0
Rutgers,Alabama,1.05,1.1,1.0
San Diego,Marian (WI),1.19,1.1,1.0
Long Beach St.,San Jose St.,1.12,1.46,1.0
Dayton,UConn,1.51,1.2,1.0
Fresno St.,California Baptist,1.06,1.0,1.0
Notre Dame,Houston,0.96,1.16,1.0
Wichita St.,Minnesota,1.05,1.08,1.0
Louisville,West Virginia,1.03,1.16,1.0
Rhode Island,UT Arlington,1.2,1.13,1.0
Indiana,Gonzaga,0.97,1.31,1.0
Wake Forest,Florida,0.84,1.09,1.0
Purdue,NC State,1.34,1.15,1.0
North Dakota St.,Utah Valley,1.57,1.22,1.0
TCU,Santa Clara,0.73,1.0,1.0
Arkansas,Illinois,1.2,1.41,1.0
Oklahoma,Arizona,1.39,1.31,1.0
Ole Miss,BYU,1.17,1.04,1.0
St. Bonaventure,Utah St.,1.12,1.2,1.0
Colorado St.,Washington,1.1,1.2,1.0
Butler,Northwestern,1.11,1.08,1.0
UC Irvine,Kennesaw St.,1.17,0.8,1.0
Providence,Davidson,1.05,1.25,1.0
North Texas,UNI,1.16,0.87,1.0
Southern California,Saint Mary's (CA),0.55,1.14,1.0
Towson,Kent St.,0.96,1.16,1.0
UNLV,Mississippi St.,0.83,1.28,1.0
New Mexico,Arizona St.,1.28,1.33,1.0
South Alabama,Alcorn,0.98,1.12,1.0
Indiana,Providence,1.61,1.29,1.0
App State,Colgate,1.3,0.94,1.0
Boston College,Dartmouth,1.24,1.31,1.0
Weber St.,Bowling Green,1.12,1.08,1.0
Wake Forest,Minnesota,1.02,0.91,1.0
DePaul,Valparaiso,1.46,1.08,1.0
Colorado St.,TCU,0.9,0.95,1.0
George Washington,VMI,1.28,0.93,1.0
Binghamton,Niagara,1.09,1.14,1.0
Elon,Maine,0.98,1.21,1.0
Iona,Tarleton St.,1.17,0.96,1.0
Troy,Merrimack,1.11,1.18,1.0
Ohio St.,Pittsburgh,1.2,1.18,1.0
Eastern Ill.,NIU,1.09,0.89,1.0
Vanderbilt,Tennessee Tech,1.22,0.89,1.0
Cleveland St.,Morehead St.,1.08,1.11,1.0
West Virginia,Arizona,1.15,1.26,1.0
Florida,Wichita St.,1.46,0.65,1.0
New Mexico St.,Pepperdine,0.84,0.99,1.0
BYU,NC State,1.14,0.81,1.0
Samford,West Ga.,1.32,1.02,1.0
Virginia,Holy Cross,1.28,0.89,1.0
James Madison,George Mason,1.05,1.14,1.0
UNCW,Sam Houston,1.11,0.97,1.0
Washington,Santa Clara,1.29,1.17,1.0
Lafayette,LIU,1.18,0.89,1.0
Penn,Navy,1.3,1.43,1.0
Arkansas St.,Indiana St.,1.37,1.29,1.0
Belmont,Gardner-Webb,1.19,1.06,1.0
East Carolina,N.C. A&T,1.34,0.9,1.0
Louisville,Oklahoma,1.08,1.17,1.0
Purdue,Ole Miss,1.4,1.37,1.0
North Texas,Utah St.,0.97,1.03,1.0
Northwestern,UNLV,1.02,0.94,1.0
VCU,Elizabeth City St.,1.7,0.89,1.0
Duke,Seattle U,1.21,0.67,1.0
Manhattan,Le Moyne,1.08,1.14,1.0
Clemson,Florida A&M,1.35,0.81,1.0
Kentucky,Georgia St.,1.37,1.03,1.0
Hofstra,Rice,0.9,0.97,1.0
SIUE,North Florida,1.18,1.26,1.0
ULM,SFA,1.03,1.17,1.0
Kennesaw St.,Towson,0.82,0.87,1.0
LSU,Northwestern St.,1.13,0.64,1.0
Texas Tech,Northern Colo.,1.42,0.82,1.0
Gonzaga,Davidson,1.41,0.98,1.0
Texas,Delaware St.,1.2,0.84,1.0
UNI,St. Bonaventure,0.93,1.21,1.0
Mississippi St.,Butler,1.07,1.21,1.0
Kent St.,UC Irvine,0.61,0.8,1.0
Arizona St.,Saint Mary's (CA),0.92,0.88,1.0
UC Santa Barbara,Mississippi Val.,1.57,0.83,1.0
New Mexico,Southern California,1.47,1.08,1.0
CSUSB,Saint Martin's,1.01,1.12,2.0
Lubbock Christian,Missouri Western,1.26,0.64,2.0
Tex. A&M Int'l,Rogers St.,1.09,1.6,2.0
Western Ore.,DBU,0.8,0.99,2.0
St. Edward's,Alas. Anchorage,1.0,0.91,2.0
West Tex. A&M,Ferris St.,1.12,0.83,2.0
Simon Fraser,Hawaii Hilo,0.92,1.03,2.0
Mont. St. Billings,Mary,1.29,0.95,2.0
Carson-Newman,Lake Superior St.,1.15,1.25,2.0
DBU,Saint Martin's,1.01,1.25,2.0
Fort Lewis,Point Loma,1.1,1.27,2.0
St. Cloud St.,Lubbock Christian,1.23,0.87,2.0
Nova Southeastern,Gannon,1.35,1.03,2.0
Hawaii Hilo,Western Ore.,1.38,1.0,2.0
Alas. Anchorage,Tex. A&M Int'l,0.91,1.16,2.0
Fla. Southern,Minnesota St.,1.02,1.08,2.0
Simon Fraser,CSUSB,0.88,1.12,2.0
Mary,St. Edward's,0.97,1.24,2.0
Ferris St.,UNC Pembroke,1.24,0.72,2.0
North Georgia,St. Thomas Aquinas,1.13,0.99,2.0
Mont. St. Billings,Rogers St.,1.09,1.28,2.0
Fort Lewis,Carson-Newman,1.02,1.28,2.0
Lake Superior St.,Gannon,1.36,1.12,2.0
Saint Martin's,Hawaii Hilo,1.06,1.0,2.0
Missouri Western,St. Cloud St.,1.16,1.06,2.0
Nova Southeastern,St. Thomas Aquinas,1.33,0.96,2.0
Western Ore.,CSUSB,0.87,1.28,2.0
Mary,Alas. Anchorage,1.12,1.11,2.0
Fla. Southern,Point Loma,1.16,1.23,2.0
Rogers St.,St. Edward's,1.26,1.15,2.0
Simon Fraser,DBU,0.81,1.01,2.0
West Tex. A&M,UNC Pembroke,1.1,1.0,2.0
Minnesota St.,North Georgia,0.82,0.95,2.0
Mont. St. Billings,Tex. A&M Int'l,1.05,0.86,2.0
Wofford,Erskine,1.37,0.73,2.0
Drexel,Georgian Court,1.5,0.67,2.0
Marshall,Davis & Elkins,1.41,0.8,2.0
UNCW,Mount Olive,2.0,1.19,2.0
Morgan St.,Frostburg St.,1.27,0.97,2.0
ETSU,Newberry,1.11,0.75,2.0
Samford,Mississippi Col.,1.36,0.73,2.0
Austin Peay,Union (TN),1.49,1.09,2.0
Utah Valley,Western Colo.,1.43,0.73,2.0
Tulsa,Northeastern St.,1.55,1.25,2.0
North Dakota St.,Jamestown,1.69,1.09,2.0
Southern Utah,Western N.M.,1.39,0.88,2.0
Montana,Hawaii Hilo,1.53,0.87,2.0
New Mexico St.,N.M. Highlands,1.18,0.52,2.0
UTEP,Sul Ross St.,1.47,0.68,2.0
Wyoming,Concordia-St. Paul,1.5,1.23,2.0
Pacific,Jessup,1.42,0.92,2.0
UC Santa Barbara,San Fran. St.,1.33,0.77,2.0
Richmond,Mount Olive,1.37,0.81,2.0
Western Mich.,Davenport,1.51,0.51,2.0
The Citadel,Erskine,1.21,0.87,2.0
Louisiana,Texas-Dallas,1.2,0.94,2.0
Franklin Pierce,Post,1.1,1.07,2.0
Arkansas Tech,Mo. Southern St.,1.03,0.95,2.0
Purdue Northwest,William Jewell,1.31,1.32,2.0
Emporia St.,Wayne St. (NE),1.25,1.26,2.0
Central Mo.,Bemidji St.,1.3,1.19,2.0
Montevallo,Barry,1.24,1.08,2.0
Northwest Mo. St.,Augustana (SD),0.68,1.15,2.0
Colorado Mesa,St. Edward's,1.12,1.6,2.0
Georgia College,Young Harris,0.79,0.91,2.0
Alabama Huntsville,Nova Southeastern,1.35,1.33,2.0
Southern Ark.,Minnesota St.,1.1,1.16,2.0
Grand Valley St.,Walsh,1.53,0.92,2.0
Florida Tech,Edward Waters,0.96,1.07,2.0
East Central,Minot St.,1.15,1.05,2.0
Davenport,Rockhurst,0.91,1.3,2.0
Missouri Western,Northern St.,1.26,0.96,2.0
Denver,Western Colo.,1.17,0.93,2.0
CSU Pueblo,Cameron,1.24,0.88,2.0
Colo. Christian,DBU,0.84,0.95,2.0
Westminster (UT),Western N.M.,1.17,0.79,2.0
UC-Colo. Springs,Midwestern St.,0.94,1.07,2.0
Hillsdale,Saginaw Valley,1.42,1.1,2.0
West Florida,Clark Atlanta,0.72,0.86,2.0
Michigan Tech,Mo.-St. Louis,1.12,0.85,2.0
Ga. Southwestern,North Greenville,1.48,1.11,2.0
USC Beaufort,Francis Marion,0.98,0.98,
Cal St. San Marcos,Biola,0.89,1.02,2.0
Saint Leo,Savannah St.,1.21,0.93,2.0
Fla. Southern,AUM,1.47,0.95,2.0
Washburn,Sioux Falls,1.38,0.96,2.0
Minn.-Crookston,Okla. Baptist,0.95,1.09,2.0
Anderson (SC),Southern Wesleyan,1.09,0.97,2.0
Rollins,Spring Hill,1.63,1.38,2.0
Embry-Riddle (FL),Morehouse,1.33,1.07,2.0
N.M. Highlands,Angelo St.,1.25,1.24,2.0
Pitt.-Johnstown,Virginia Union,0.83,1.14,2.0
Shepherd,Winston-Salem,0.98,1.12,
Glenville St.,Indiana (PA),1.09,1.06,2.0
Fayetteville St.,Lock Haven,1.22,0.84,2.0
Lake Superior St.,Lake Erie,1.0,1.05,
Roberts Wesleyan,St. Anselm,0.93,1.38,2.0
Goldey-Beacom,D'Youville,1.08,1.16,
Lenoir-Rhyne,Chowan,0.91,1.08,2.0
Cedarville,Truman St.,1.2,1.32,2.0
Caldwell,Saint Michael's,1.12,1.03,2.0
Augusta,Mount Olive,1.11,1.34,2.0
Flagler,Emory & Henry,0.83,0.86,
Fairmont St.,Bloomsburg,1.38,1.14,2.0
West Liberty,West Chester,1.25,1.02,2.0
Adelphi,Molloy,1.48,0.96,2.0
Limestone,North Georgia,1.07,1.23,2.0
Johnson C. Smith,Davis & Elkins,0.94,1.06,2.0
Allen,Tampa,1.14,1.34,2.0
Emmanuel (GA),Newberry,0.98,1.26,2.0
Concordia-St. Paul,Neb.-Kearney,1.22,1.25,2.0
Christian Brothers,Tuskegee,1.29,1.27,2.0
Benedict,Eckerd,0.89,0.99,2.0
Southwestern Okla.,Newman,0.93,1.24,2.0
UNC Pembroke,USC Aiken,1.23,1.42,2.0
Colo. Sch. of Mines,Lubbock Christian,1.26,1.44,2.0
Minn. Duluth,Southeastern Okla.,1.85,1.15,2.0
Pittsburg St.,Winona St.,0.93,1.3,2.0
McKendree,Tiffin,1.16,0.67,2.0
Ark.-Fort Smith,Harding,1.26,1.15,2.0
Northeastern St.,Northwestern Okla.,1.18,1.23,2.0
Wilmington (DE),Dist. Columbia,0.92,0.95,
Charleston (WV),California (PA),1.67,1.54,2.0
Ferris St.,Northwood,0.81,0.7,
Slippery Rock,Shaw,0.95,0.87,2.0
Virginia St.,Gannon,0.79,1.03,2.0
Bowie St.,Clarion,1.05,1.07,2.0
Valdosta St.,Fort Valley St.,1.32,0.94,2.0
Daemen,Chestnut Hill,1.02,0.86,2.0
Saint Martin's,Hawaii Hilo,1.12,1.05,2.0
Barton,Columbus St.,0.72,0.98,2.0
Bridgeport,Mercy,1.17,0.87,2.0
Assumption,Bloomfield,1.0,0.99,2.0
Regis (CO),St. Mary's (TX),1.08,1.27,2.0
Thomas More,Drury,0.95,1.11,2.0
Palm Beach Atl.,Trevecca Nazarene,1.03,0.85,2.0
Edinboro,West Va. Wesleyan,1.12,0.84,2.0
UIndy,Ky. Wesleyan,1.27,1.35,2.0
Wheeling,Bluefield St.,0.97,1.19,2.0
Catawba,Lander,1.07,1.3,2.0
Clayton St.,Tusculum,1.0,0.71,2.0
Pace,Queens (NY),1.11,0.81,2.0
West Virginia St.,Livingstone,0.84,0.95,2.0
Lewis,Malone,1.5,1.37,2.0
Maryville (MO),Northern Mich.,0.73,1.02,2.0
Henderson St.,MSU Moorhead,1.05,1.13,2.0
LeMoyne-Owen,Delta St.,1.08,1.32,2.0
Lane,Union (TN),0.84,1.0,2.0
Lincoln (MO),Wayne St. (MI),1.17,1.11,2.0
Southwest Minn. St.,Fort Hays St.,1.13,1.03,2.0
Cal State LA,CUI,1.2,1.18,2.0
Academy of Art,San Fran. St.,1.12,1.03,2.0
Simon Fraser,Cal Poly Humboldt,0.93,1.32,2.0
Coker,Erskine,2.09,1.0,2.0
Southern Ill.,Missouri S&T,1.16,0.89,2.0
Western Ore.,Cal St. Monterey Bay,1.27,1.26,2.0
Azusa Pacific,Cal Poly Pomona,0.95,1.08,2.0
Stanislaus St.,Fresno Pacific,1.16,0.97,2.0
Central Okla.,Mary,1.46,1.18,2.0
Tex. A&M Int'l,Chadron St.,0.91,0.96,2.0
Ouachita Baptist,Rogers St.,1.02,1.35,2.0
Fort Lewis,Eastern N.M.,1.1,0.92,2.0
Tex. A&M-Kingsville,South Dakota Mines,0.92,0.56,2.0
Findlay,Quincy,1.25,0.94,2.0
Mont. St. Billings,Westmont,1.2,1.14,2.0
Sonoma St.,Dominican (CA),0.87,1.38,2.0
Chaminade,Alas. Fairbanks,1.2,1.1,2.0
Seattle Pacific,Chico St.,1.07,1.12,2.0
Central Wash.,CSUSB,0.9,1.17,2.0
Cal St. East Bay,Point Loma,0.78,1.22,2.0
Western Wash.,Cal St. Dom. Hills,1.28,1.25,2.0
Hawaii Pacific,Alas. Anchorage,1.13,1.07,2.0
USC Beaufort,Emory & Henry,0.93,0.7,
New Haven,Jefferson,1.19,1.24,2.0
Mo. Southern St.,Southwestern Okla.,1.08,1.19,2.0
Central Okla.,Northwestern Okla.,1.3,1.0,2.0
Columbus St.,Mount Olive,1.43,1.3,2.0
North Greenville,Georgia College,1.0,0.8,2.0
East Central,Minn.-Crookston,0.86,0.94,2.0
Bemidji St.,Ark.-Monticello,1.05,0.9,2.0
Newberry,Southern Wesleyan,1.19,1.08,2.0
Glenville St.,California (PA),1.16,1.5,2.0
Chestnut Hill,Roberts Wesleyan,1.04,1.22,2.0
Colorado Mesa,DBU,0.86,1.1,2.0
Tex. Permian Basin,Westminster (UT),1.03,0.97,2.0
Adelphi,Queens (NY),1.3,0.93,2.0
Barton,Augusta,1.21,1.19,2.0
Cedarville,Quincy,1.07,0.92,2.0
D'Youville,Wilmington (DE),1.17,1.45,2.0
Purdue Northwest,Rockhurst,0.99,1.05,2.0
Chowan,Tusculum,1.23,0.98,2.0
Bentley,Georgian Court,1.35,0.9,2.0
Florida Tech,Spring Hill,1.24,1.19,2.0
Minot St.,Southeastern Okla.,1.01,0.91,2.0
St. Cloud St.,Central Mo.,1.36,1.26,2.0
Malone,McKendree,1.22,1.53,2.0
Daemen,St. Anselm,1.7,0.84,2.0
Charleston (WV),Indiana (PA),1.37,1.27,2.0
Clarion,Fayetteville St.,1.08,1.05,2.0
Davis & Elkins,Livingstone,0.88,0.93,2.0
Embry-Riddle (FL),Trevecca Nazarene,1.23,1.32,2.0
Bloomfield,Saint Michael's,1.12,1.19,2.0
Anderson (SC),Erskine,1.2,0.46,2.0
Davenport,William Jewell,0.64,0.79,2.0
Adams St.,Western N.M.,1.11,1.01,2.0
Colo. Christian,St. Edward's,0.96,1.0,2.0
Wheeling,West Chester,1.24,0.81,2.0
Lane,Christian Brothers,0.71,0.94,2.0
Tuskegee,Union (TN),0.93,1.22,2.0
Molloy,Pace,0.83,1.14,2.0
Maryville (MO),Michigan Tech,1.24,1.29,2.0
UC-Colo. Springs,Cameron,1.04,0.94,2.0
Fort Valley St.,West Florida,1.13,1.33,2.0
Lincoln Memorial,Shorter,1.58,0.93,2.0
American Int'l,Holy Family,0.82,1.06,2.0
Lewis,Tiffin,1.19,0.77,2.0
Flagler,Francis Marion,0.86,1.03,
Young Harris,North Georgia,1.25,1.29,2.0
Clayton St.,Lenoir-Rhyne,1.1,1.54,2.0
Mary,Northeastern St.,1.12,1.48,2.0
Minn. Duluth,Okla. Baptist,1.11,0.74,2.0
Minnesota St.,Washburn,0.98,1.25,2.0
King (TN),Carson-Newman,1.05,1.21,2.0
West Virginia St.,Johnson C. Smith,1.14,0.92,2.0
Palm Beach Atl.,Morehouse,1.13,0.99,2.0
Assumption,Caldwell,1.09,1.14,2.0
Findlay,Truman St.,1.61,1.22,2.0
Emmanuel (GA),Coker,1.36,1.31,2.0
Rollins,Edward Waters,1.18,1.1,2.0
Harding,Rogers St.,1.39,1.37,2.0
Concordia-St. Paul,Fort Hays St.,1.55,1.25,2.0
Kutztown,Lincoln (PA),1.2,1.34,2.0
Pitt.-Johnstown,Shaw,1.19,1.08,2.0
Lake Superior St.,Northwood,0.87,0.8,
Southern N.H.,St. Thomas Aquinas,1.12,1.19,2.0
Millersville,Claflin,2.07,1.66,2.0
Valdosta St.,Clark Atlanta,1.74,1.09,2.0
West Liberty,Bluefield St.,1.26,1.24,2.0
Gannon,Winston-Salem,1.45,1.05,2.0
Goldey-Beacom,Dist. Columbia,0.78,0.61,
Arkansas Tech,Newman,1.42,1.0,2.0
Alabama Huntsville,Barry,1.21,0.9,2.0
Bloomsburg,West Va. Wesleyan,0.99,1.1,2.0
Benedict,Tampa,0.96,1.19,2.0
Frostburg St.,Shippensburg,0.91,0.84,2.0
Allen,Eckerd,0.95,0.85,2.0
N.M. Highlands,Eastern N.M.,1.05,1.21,2.0
Winona St.,Henderson St.,1.21,1.3,2.0
Albany St. (GA),West Ala.,1.09,1.04,2.0
Mississippi Col.,Central St. (OH),1.09,0.97,2.0
Virginia St.,Shepherd,1.55,0.84,2.0
Tex. A&M Int'l,South Dakota Mines,0.95,1.39,2.0
Tex. A&M-Kingsville,Chadron St.,0.97,1.0,2.0
Ouachita Baptist,Ark.-Fort Smith,1.17,1.1,2.0
Southwest Minn. St.,Neb.-Kearney,1.15,1.09,2.0
Point Park,Mansfield,1.43,1.16,2.0
Slippery Rock,Virginia Union,0.97,0.93,2.0
Ferris St.,Lake Erie,0.84,0.95,
Westmont,Saint Martin's,1.2,1.33,2.0
UT Tyler,Black Hills St.,0.8,1.22,2.0
Upper Iowa,Wis.-Parkside,1.22,0.93,2.0
East Stroudsburg,Elizabeth City St.,1.38,0.84,2.0
Saint Leo,AUM,1.12,1.13,2.0
Regis (CO),Lubbock Christian,1.51,1.36,2.0
Montevallo,Nova Southeastern,1.02,1.35,2.0
Fla. Southern,Savannah St.,1.33,1.29,2.0
Fairmont St.,Edinboro,1.27,1.15,2.0
Staten Island,Southern Conn. St.,1.18,1.21,2.0
Lees-McRae,UVA Wise,1.01,0.95,2.0
Limestone,Ga. Southwestern,1.46,1.14,2.0
Dominican (CA),San Fran. St.,1.05,1.01,2.0
Salem (WV),Seton Hill,0.82,1.12,2.0
Sioux Falls,Southern Ark.,0.95,0.88,2.0
Mo.-St. Louis,Northern Mich.,1.02,1.29,2.0
Bowie St.,Lock Haven,0.89,0.94,2.0
Azusa Pacific,Chico St.,1.23,1.18,2.0
Stanislaus St.,Point Loma,0.95,1.06,2.0
Simon Fraser,Cal St. Dom. Hills,1.23,1.33,2.0
Ill. Springfield,Roosevelt,1.26,0.98,2.0
Colo. Sch. of Mines,St. Mary's (TX),1.41,1.06,2.0
CUI,Cal St. San Marcos,1.11,0.77,2.0
Sul Ross St.,MSU Denver,0.98,1.35,2.0
Mont. St. Billings,Hawaii Hilo,0.9,0.72,2.0
Sonoma St.,Academy of Art,1.25,1.22,2.0
Chaminade,Alas. Anchorage,1.15,0.77,2.0
Fort Lewis,Angelo St.,0.9,0.99,2.0
Cal St. East Bay,Fresno Pacific,1.07,0.94,2.0
Western Wash.,Cal Poly Humboldt,1.07,1.03,2.0
Biola,Cal State LA,1.57,1.19,2.0
Seattle Pacific,Cal Poly Pomona,0.91,1.06,2.0
Hawaii Pacific,Alas. Fairbanks,1.22,0.92,2.0
East Stroudsburg,Lincoln (PA),1.09,0.83,2.0
Missouri S&T,Ohio Dominican,1.82,1.46,2.0
Salem (WV),Shippensburg,1.36,1.03,2.0
New Haven,Holy Family,0.9,0.89,2.0
King (TN),UVA Wise,1.06,1.21,2.0
Post,Mercy,1.2,0.93,2.0
Emporia St.,Northern St.,1.16,0.9,2.0
Claflin,Mansfield,1.45,0.76,2.0
Ark.-Monticello,MSU Moorhead,1.37,1.49,
Staten Island,Southern N.H.,0.95,0.82,2.0
Grand Valley St.,Ashland,1.06,1.1,2.0
Adams St.,Tex. Permian Basin,1.83,1.69,2.0
Lincoln (MO),Ky. Wesleyan,1.33,1.28,2.0
Central St. (OH),West Ala.,0.86,1.39,2.0
American Int'l,Jefferson,1.36,1.0,2.0
CSUSB,Western Ore.,1.47,1.06,2.0
Okla. Christian,Western Colo.,0.96,0.85,2.0
CSU Pueblo,Midwestern St.,1.22,0.73,2.0
Pittsburg St.,St. Cloud St.,1.07,0.99,2.0
St. Thomas Aquinas,Southern Conn. St.,1.19,1.04,2.0
Frostburg St.,Seton Hill,0.54,1.27,2.0
Millersville,Point Park,1.5,0.8,2.0
Saginaw Valley,Hillsdale,0.96,0.86,
Lees-McRae,Carson-Newman,1.1,1.19,2.0
Upper Iowa,Roosevelt,1.13,0.67,2.0
Northwest Mo. St.,Wayne St. (NE),1.1,1.29,2.0
UIndy,Wayne St. (MI),1.42,1.4,2.0
USC Aiken,Catawba,0.95,1.04,
UT Tyler,MSU Denver,0.87,0.91,2.0
Elizabeth City St.,Kutztown,1.11,0.75,2.0
Lander,UNC Pembroke,1.21,1.49,2.0
Delta St.,LeMoyne-Owen,1.31,1.25,2.0
Central Wash.,Cal St. Monterey Bay,0.85,1.06,2.0
Ill. Springfield,Wis.-Parkside,1.1,0.77,2.0
Missouri Western,Augustana (SD),1.47,1.02,2.0
Bridgeport,Franklin Pierce,1.14,1.1,2.0
Sul Ross St.,Black Hills St.,0.82,1.23,2.0
Mississippi Col.,Albany St. (GA),1.12,1.08,2.0
Cal Poly,Menlo,1.5,1.06,2.0
Ga. Southern,Augusta,1.1,0.96,2.0
Flagler,Spring Hill,0.8,0.87,
Missouri St.,Mo. Southern St.,1.1,0.84,2.0
Seattle Pacific,Cal St. Dom. Hills,1.13,1.29,2.0
Chaminade,Alas. Fairbanks,1.23,1.14,2.0
Georgian Court,Lock Haven,1.07,1.11,2.0
Morgan St.,Dist. Columbia,1.04,0.73,2.0
Mississippi Col.,Millsaps,1.16,1.09,2.0
